工件名称,加工数量,件号,料号,材质,硬度,加工方式,实际数量,最高库存量,最低库存量,提醒库存量
导料板,1,D01-1, ,SKD11,HRC60,C-B,1,1,1,
导料板,1,D01-10, ,SKD11,HRC60,C-B,1,1,1,
辅料块,1,D01-11, ,SKD11,HRC60,C-B,1,1,1,
辅料块,5,D01-12, ,SKD11,HRC60,C-B,1,1,1,
辅料块,2,D01-13, ,SKD11,HRC60,C-B,1,1,1,
辅料块,7,S01-1, ,SKD11,HRC60,C-B,1,1,1,
导料板,1,D01-2, ,SKD11,HRC60,C-B,1,1,1,
导料板,1,D01-3, ,SKD11,HRC60,C-B,1,1,1,
导料板,1,D01-4, ,SKD11,HRC60,C-B,1,1,1,
导料板,1,D01-5, ,SKD11,HRC60,C-B,1,1,1,
导料板,1,D01-6, ,SKD11,HRC60,C-B,1,1,1,
导料板,1,D01-7, ,SKD11,HRC60,C-B,1,1,1,
导料板,1,D01-8, ,SKD11,HRC60,C-B,1,1,1,
导料板,1,D01-9, ,SKD11,HRC60,C-B,1,1,1,
下模刀口,2,D02-1, ,KD20,HRA90%%D,D,1,1,1,
夹板入子,1,P02-1, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S02-1, ,SKD11,HRC60,C-B-E,1,1,1,
刀口垫块,13,D02-2, ,D2,HRA55,G-B,1,1,1,
下料冲子,5,P02-2, ,KD20,HRA90%%D,D,1,1,1,
刀口砌块,1,D02-3, ,SKD11,HRC60,B,1,1,1,
下料冲子,5,P02-3, ,KD20,HRA90%%D,D,1,1,1,
刀口砌块,1,D02-4, ,SKD11,HRC60,B,1,1,1,
下料冲子,2,P02-4, ,KD20,HRA90%%D,D,1,1,1,
下模成型,2,D03-1, ,ASP60,HRC62,B-表面镀钛,1,1,1,
预断,2,S03-1, ,ASP60,HRC62,B-表面镀钛,1,1,1,
下模刀口,2,D04-1, ,KD20,HRA90%%D,D,1,1,1,
夹板入子,1,P04-1, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S04-1, ,SKD11,HRC60,C-B-E,1,1,1,
刀口垫块,13,D04-2, ,D2,HRA55,G-B,1,1,1,
下料冲子,2,P04-2, ,KD20,HRA90%%D,D,1,1,1,
刀口砌块,1,D04-3, ,SKD11,HRC60,B,1,1,1,
下料冲子,2,P04-3, ,KD20,HRA90%%D,D,1,1,1,
刀口砌块,1,D04-4, ,SKD11,HRC60,B,1,1,1,
下模刀口,2,D05-1, ,SKH-9,HRC60,C-B,1,1,1,
夹板入子,1,P05-1, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S05-1, ,SKD11,HRC60,C-B-E,1,1,1,
刀口垫块,13,D05-2, ,D2,HRA55,G-B,1,1,1,
下料冲子,2,P05-2, ,KD20,HRA90%%D,D,1,1,1,
刀口砌块,1,D05-3, ,SKD11,HRC60,B,1,1,1,
下料冲子,2,P05-3, ,KD20,HRA90%%D,D,1,1,1,
刀口砌块,1,D05-4, ,SKD11,HRC60,B,1,1,1,
下模成型,2,D06-1, ,KD20,HRA90,D,1,1,1,
成型入子,2,S06-1, ,KD20,HRA90,D,1,1,1,
下模成型,1,D07-1, ,SKH-9,HRA62,C-B,1,1,1,
夹板入子,1,P07-1, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S07-1, ,SKD11,HRC60,C-B,1,1,1,
成型冲子,1,P07-2, ,SKH-9,HRC62%%D,C-B,1,1,1,
下模成型,1,D08-1, ,SKH-9,HRA62,C-B,1,1,1,
夹板入子,1,P08-1, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S08-1, ,SKD11,HRC60,C-B-E,1,1,1,
成型冲子,1,P08-2, ,SKH-9,HRC62%%D,C-B,1,1,1,
下模成型,1,D09-1, ,SKH-9,HRA62,C-B,1,1,1,
脱料入子,1,S09-1, ,SKH-9,HRC60,C-B,1,1,1,
下模成型,1,D09-2, ,SKH-9,HRC62,C-B,1,1,1,
下模成型,2,D10-1, ,KD20,HRA90,D,1,1,1,
夹板入子,1,P10-1, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S10-1, ,SKD11,HRC60,C-B,1,1,1,
成型冲子,2,P10-2, ,KD20,HRA90%%D,D,1,1,1,
下模成型,1,D11-1, ,SKH-9,HRA62,C-B,1,1,1,
脱料入子,1,S11-1, ,SKD11,HRC60,C-B,1,1,1,
下模成型,1,D11-2, ,SKH-9,HRA62,C-B,1,1,1,
调整杆,1,D11-3, ,SKD11,HRC60,C-B,1,1,1,
下模成型,2,D12-1, ,KD20,HRA90,C-B,1,1,1,
脱料入子,1,S12-1, ,SKD11,HRC60,C-B,1,1,1,
下模成型,1,D13-1, ,SKH-9,HRA62,C-B,1,1,1,
夹板入子,1,P13-1, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S13-1, ,SKD11,HRC60,C-B-E,1,1,1,
下模成型,1,D13-2, ,SKH-9,HRA62,C-B,1,1,1,
成型冲子,1,P13-2, ,SKH-9,HRA62%%D,C-B,1,1,1,
成型冲子,1,P13-3, ,SKH-9,HRA62%%D,C-B,1,1,1,
下模成型,1,D14-1, ,SKH-9,HRA62,C-B,1,1,1,
夹板入子,1,P14-1, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S14-1, ,SKD11,HRC60,C-B-E,1,1,1,
下模成型,1,D14-2, ,SKH-9,HRA62,C-B,1,1,1,
夹板入子,1,P14-2, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S14-2, ,SKD11,HRC60,C-B-E,1,1,1,
成型冲子,1,P14-3, ,SKH-9,HRA62%%D,C-B,1,1,1,
成型冲子,1,P14-4, ,SKH-9,HRA62%%D,C-B,1,1,1,
下模成型,1,D15-1, ,SKD11,HRA60,C-B,1,1,1,
成型冲子,1,P15-1, ,SKD11,HRA60%%D,C-B-E,1,1,1,
小圆柱,2,S15-1, ,SKD11,HRC60,C-B,1,1,1,
下模成型,1,D15-2, ,SKH-9,HRA62,C-B,1,1,1,
成型冲子,1,P15-2, ,SKD11,HRA60%%D,C-B-E,1,1,1,
成型入子,3,S15-2, ,SKH-9,HRA62,C-B,1,1,1,
下模垫块,1,D15-3, ,SKD11,HRC60,B,1,1,1,
上模调整杆,2,P15-3, ,SKD11,HRA60%%D,C-B-E,1,1,1,
脱料入子,1,S15-3, ,SKD11,HRC60,C-B-E,1,1,1,
固定座,1,P15-4, ,S45C,HRC55,B-A表面镀铬,1,1,1,
脱料入子,1,S15-4, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S15-5, ,SKD11,HRC60,C-B,1,1,1,
下模刀口,2,D16-1, ,SKH-9,HRA62%%D,C-B-E,1,1,1,
夹板入子,1,P16-1, ,SKD11,HRC60,C-B,1,1,1,
脱料入子,1,S16-1, ,SKD11,HRC60,C-B-E,1,1,1,
刀口垫块,13,D16-2, ,D2,HRA55,G-B,1,1,1,
下料冲子,2,P16-2, ,SKH-9,HRA62%%D,C-B-D,1,1,1,
刀口砌块,1,D16-3, ,SKD11,HRC60,B,1,1,1,
刀口砌块,1,D16-4, ,SKD11,HRC60,B,1,1,1,
下模成型,1,D17-1, ,SKD11,HRA60,C-B,1,1,1,
脱料入子,1,S17-1, ,SKD11,HRC60,C-B,1,1,1,
下模成型,1,D17-2, ,SKH-9,HRA62,C-B,1,1,1,
调整杆,1,D17-3, ,SKD11,HRC60,C-B,1,1,1,
固定座,2,D17-4, ,S45C,HRC55,B-A表面镀铬,1,1,1,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
 , , , , , , , , , ,
